lat,lng,wayid
43.883689800206035,11.0900625993574,8054985
43.88266319999125,11.089117599039525,8054985
43.88168979973061,11.088436598743009,8054985
43.880835099456014,11.088292498583046,8054985
43.8892494002973,11.094536500062949,8055003
43.88858400038171,11.09650140021742,8055003
43.87572729692345,11.102930704315547,8055039
43.8762933972794,11.103505404397518,8055039
43.876087797152294,11.093252300044073,8055061
43.876429397362116,11.093521000156084,8055061
43.877425897935176,11.101930703437711,8055203
43.87712439776792,11.102132003595795,8055203
43.875179996561485,11.102417604237631,8055243
43.87558559683142,11.10164640378412,8055243
43.874006595726335,11.094734600779002,8055255
43.87429449593871,11.094039100429601,8055255
43.875002596440396,11.09237869964333,8055255
43.88413020027926,11.092484799870135,8055258
43.88447560032874,11.091592399711644,8055258
43.884886000378465,11.090529799546394,8055258
43.88216719986537,11.090606899357342,8055448
43.87547979676194,11.095824401199415,8055522
43.87558599683168,11.095903001226105,8055522
43.88690430047948,11.092357699909659,8055556
43.886284400473826,11.091734499812903,8055556
43.88575120045097,11.100119101030021,8055573
43.87657669745049,11.092564799756357,8055592
43.87750909798039,11.091334399293617,8055592
43.890214300128854,11.095423700038998,8055674
43.879629398995924,11.087897098282303,8079944
43.87939809889793,11.08809889831409,8079944
43.88305240007994,11.091435899611255,8102157
43.875466896753416,11.103079704456983,15692171
43.87410089579643,11.088442397698751,15692186
43.87588249702291,11.08998829861934,15692186
43.87649059739899,11.090446498867557,15692186
43.87710779775856,11.090892899095326,15692186
43.880960499498975,11.087963498506111,15692187
43.890815999996214,11.102926899995433,23485048
43.890779300004915,11.102508000005683,23485048
43.88400210025913,11.099617401287018,23485066
43.88656120047913,11.094854400211505,23698130
43.886109400468165,11.09610800040618,23698130
43.88579270045335,11.097052000571976,23698130
43.8768781976274,11.101416003368731,23713454
43.88977910021158,11.096936400113172,25149376
43.88949950025887,11.098258500194495,25149376
43.886981600478606,11.09872350062301,25149420
43.88778980044852,11.099037900518852,25149420
43.8835660001834,11.1023408019463,25149839
43.88363160019551,11.101966101850023,25149839
43.88368940020596,11.101739201787876,25149839
43.881401199642674,11.10316660275594,25149847
43.88187449978433,11.103850802795925,25149847
43.88128929960726,11.102970802734237,25149929
43.88199699981886,11.100366401859642,25150001
43.881457699660274,11.100455601997961,25150001
43.880746799425204,11.100826502259148,25150001
43.8797040990269,11.101793802807656,25150001
43.879419998907345,11.102249603031384,25150001
43.88158829970024,11.10081230206622,25150024
43.885391300426136,11.0971068006265,25150874
43.88838970040147,11.096841600260486,25150956
43.88791620044036,11.096945800320452,25150956
43.88704680047759,11.096980000420814,25150956
43.88372870021296,11.099318901276988,25152885
43.874833896323544,11.100928003635314,25155423
43.87593449705591,11.099733802865048,25155438
43.87505399647568,11.098850302627506,25155438
43.874084095783985,11.097951802349685,25155438
43.8743971960133,11.091714399310687,25156604
43.88230299990126,11.098585301351973,25191600
43.87804939826416,11.101641303169426,25191753
43.8800988991852,11.08766939828317,25197501
43.876821797594715,11.096924201544379,25198003
43.87706569773474,11.096365301292726,25198003
43.87744139794363,11.09531530084676,25198003
43.88089739947747,11.10233070266135,25578879
43.88298790006586,11.096961800871725,25578987
43.88240989992877,11.096527800829627,25579166
43.881631599713266,11.098223501361696,25579211
43.87948079893333,11.099505202105824,25615278
43.8783549984171,11.098886302089795,25616178
43.87560429684363,11.08465699622207,25616932
43.87548809676741,11.084346896054184,25616932
43.87544509673901,11.084352396045574,25616932
43.875724596921714,11.084169096036664,25616947
43.87504339646841,11.08594419667634,25616976
43.87469859622861,11.086897997053178,25616976
43.882677199994596,11.102839002303893,25617241
43.88540570042727,11.098211700799308,25728748
43.88536010042362,11.098222500807784,25728748
43.889324800286104,11.099352000267844,25784979
43.88994970018047,11.100475000182342,25784979
43.89000180017063,11.100795800178666,25784979
43.889366800279724,11.096826100154244,25784981
43.88845020039555,11.098134700342897,25784982
43.88766160045585,11.09967360059935,25785205
43.888116000425555,11.099856200526922,25785205
43.888043100431226,11.101214900650886,25785232
43.8881003004268,11.101021200622073,25785232
43.89103789994195,11.101721799940316,25928839
43.880152199205874,11.09891040179552,26484366
43.87993169911927,11.098719501771967,26484366
43.8796687990123,11.096296401025263,26484412
43.88013969920104,11.096656201094172,26484412
43.8803277992728,11.096850801134522,26484676
43.8817409997457,11.093656700134384,27023100
43.88158449969909,11.094356000325357,27023100
43.88111349955015,11.086581398137435,27129422
43.88079859944333,11.08544429774397,27129491
43.8799749991365,11.084565797279804,27129491
43.879609798987744,11.08370039690455,27129491
43.87891249868201,11.082693396361238,27129491
43.87819149833595,11.08197279587457,27129491
43.8788891986713,11.087365597983164,27129572
43.87812259830129,11.086718597613247,27129572
43.87697959768571,11.085801597027064,27129572
43.877781298125484,11.095624900943204,27129630
43.87847549847589,11.096325601145708,27129630
43.88365690020011,11.089328999201028,27129812
43.883214600114286,11.089001999078944,27129812
43.88215999986344,11.088066298714228,27129812
43.881808099765244,11.093843700182612,27129849
43.88038519929428,11.089535998898185,27129905
43.88507090039764,11.096678900591849,27129995
43.88553500043696,11.095264600325926,27129995
43.885957400461784,11.094257500157013,27129995
43.886380300476176,11.093409000033523,27130010
43.88394160024929,11.097487000870752,27214321
43.884205100290586,11.09657790066179,27214321
43.88180109976322,11.094566300373108,27214336
43.88024289924067,11.094369200376798,27214341
43.879893999104176,11.094071800294303,27214341
43.87981389907184,11.094442300415619,27214345
43.88174479974681,11.096465900878982,27214365
43.88110279954662,11.097245501162607,27214415
43.87941149890369,11.096956401268994,27214480
43.87876059861163,11.100520102597494,27214521
